Global Solar(kW/m2),PV Cell Temperature(C),Wind Speed(m/s),Ambient Temperature,AC Load(kW),Month,Day,Year,Hour
0.0,23.72726,4.1372860000000005,23.72726,0.3619038,1,7,2007,1
0.0,23.72726,3.338197,23.72726,0.1440868,1,7,2007,1
0.0,23.72726,2.9248060000000002,23.72726,0.1589267,1,7,2007,1
0.0,23.72726,3.307964,23.72726,0.10044860000000001,1,7,2007,1
0.0,23.72726,3.261775,23.72726,0.09458661,1,8,2007,1
0.0,23.72726,3.400691,23.72726,0.09147741,1,8,2007,1
0.0,23.72726,4.461551999999999,23.72726,0.19309679999999999,1,8,2007,1
0.0,23.72726,5.626453,23.72726,0.17989539999999998,1,8,2007,1
0.0,23.72726,5.556793,23.72726,0.3122074,1,8,2007,1
0.0,23.72726,6.339822,23.72726,0.32723779999999997,1,8,2007,1
0.0,23.72726,5.782107,23.72726,0.5867145,1,8,2007,1
0.0,23.72726,7.733475,23.72726,0.4009693,1,8,2007,1
0.03479524,24.60709,5.1920150000000005,23.72726,0.37546890000000005,1,8,2007,1
0.1130845,26.60502,5.314491,23.72726,0.38659140000000003,1,8,2007,1
0.262207,30.484090000000002,5.1925300000000005,23.72726,0.4981206,1,8,2007,1
0.3566512,33.06496,6.527595,23.72726,0.5486736999999999,1,8,2007,1
0.3989026,34.2699,6.002128,23.72726,0.5566219,1,8,2007,1
0.3703208,33.46631,6.959465,23.72726,0.5085822,1,8,2007,1
0.2883034,31.205659999999998,6.834072999999999,23.72726,0.39330859999999995,1,8,2007,1
0.16403470000000003,27.92541,6.5658449999999995,23.72726,0.35473150000000003,1,8,2007,1
0.03728062,24.670189999999998,6.251055,23.72726,0.3965223,1,8,2007,1
0.0,23.72726,5.864171,23.72726,0.5997136,1,8,2007,1
0.0,23.72726,5.402086,23.72726,1.1133620000000002,1,8,2007,1
0.0,23.72726,5.087873,23.72726,1.003674,1,8,2007,1
0.0,23.72726,4.184407,23.72726,0.6587595,1,8,2007,1
0.0,23.72726,4.283504,23.72726,0.4324996,1,8,2007,1
0.0,23.72726,4.2732410000000005,23.72726,0.2934091,1,8,2007,1
0.0,23.72726,3.322344,23.72726,0.1424476,1,8,2007,1
0.0,23.72726,3.138815,23.72726,0.11574970000000001,1,9,2007,1
0.0,23.72726,2.786343,23.72726,0.1020588,1,9,2007,1
0.0,23.72726,3.021834,23.72726,0.24111849999999999,1,9,2007,1
0.0,23.72726,3.4045660000000004,23.72726,0.22993829999999998,1,9,2007,1
0.0,23.72726,3.952907,23.72726,0.3713822,1,9,2007,1
0.0,23.72726,4.559014,23.72726,0.3843209,1,9,2007,1
0.0,23.72726,3.0676930000000002,23.72726,0.6890349,1,9,2007,1
0.0,23.72726,3.7444599999999997,23.72726,0.5238430000000001,1,9,2007,1
0.01242687,24.03979,4.411525,23.72726,0.44947539999999997,1,9,2007,1
0.05592092,25.140420000000002,5.410593,23.72726,0.46779670000000007,1,9,2007,1
0.1130845,26.5952,5.442383,23.72726,0.48396049999999996,1,9,2007,1
0.14787979999999998,27.48268,5.705587,23.72726,0.5307797,1,9,2007,1
0.1603066,27.79993,5.993792,23.72726,0.8081149999999999,1,9,2007,1
0.159064,27.76988,5.899567,23.72726,0.5275032,1,9,2007,1
0.1267541,26.94535,6.438611,23.72726,0.420045,1,9,2007,1
0.09941497,26.25228,5.594904,23.72726,0.458675,1,9,2007,1
0.03355255,24.57514,5.15033,23.72726,0.46829449999999995,1,9,2007,1
0.0,23.72726,4.856406,23.72726,0.6524336,1,9,2007,1
0.0,23.72726,6.766432000000001,23.72726,1.4450969999999999,1,9,2007,1
0.0,23.72726,5.562796,23.72726,1.209783,1,9,2007,1
0.0,23.72726,4.386775,23.72726,0.7899037,1,9,2007,1
0.0,23.72726,3.8492870000000003,23.72726,0.4049743,1,9,2007,1
0.0,23.72726,3.0134790000000002,23.72726,0.3247313,1,9,2007,1
0.0,23.72726,2.928155,23.72726,0.21209470000000002,1,9,2007,1
0.0,23.72726,2.272875,23.72726,0.09227522,1,10,2007,1
0.0,23.72726,1.682145,23.72726,0.08088478,1,10,2007,1
0.0,23.72726,1.672547,23.72726,0.2023849,1,10,2007,1
0.0,23.72726,2.839318,23.72726,0.19766889999999998,1,10,2007,1
0.0,23.72726,2.2394580000000004,23.72726,0.29303270000000003,1,10,2007,1
0.0,23.72726,2.012527,23.72726,0.3844261,1,10,2007,1
0.0,23.72726,1.796875,23.72726,0.5854663,1,10,2007,1
0.0,23.72726,2.2125369999999998,23.72726,0.3801888,1,10,2007,1
0.02361106,24.32274,3.517149,23.72726,0.39757059999999994,1,10,2007,1
0.1118418,26.572809999999997,3.3035769999999998,23.72726,0.3919804,1,10,2007,1
0.18391770000000002,28.42039,4.59475,23.72726,0.49513789999999996,1,10,2007,1
0.27587659999999997,30.805809999999997,4.779589,23.72726,0.5920466,1,10,2007,1
0.32682680000000003,32.17095,5.489346,23.72726,0.5770113,1,10,2007,1
0.17397620000000003,28.15355,4.991689,23.72726,0.5141114999999999,1,10,2007,1
0.159064,27.77665,4.759936,23.72726,0.3898139,1,10,2007,1
0.06586242,25.393320000000003,4.830986,23.72726,0.3928475,1,10,2007,1
0.02361106,24.32256,4.073278,23.72726,0.3120185,1,10,2007,1
0.0,23.72726,3.865732,23.72726,0.6297746999999999,1,10,2007,1
0.0,23.72726,2.92374,23.72726,1.1953,1,10,2007,1
0.0,23.72726,2.788637,23.72726,1.0556729999999999,1,10,2007,1
0.0,23.72726,2.9669689999999997,23.72726,0.5434414000000001,1,10,2007,1
0.0,23.72726,2.979103,23.72726,0.5004664000000001,1,10,2007,1
0.0,23.72726,2.680385,23.72726,0.2743534,1,10,2007,1
0.0,23.72726,3.1654880000000003,23.72726,0.1558986,1,10,2007,1
0.0,23.72726,3.7740400000000003,23.72726,0.08470508,1,11,2007,1
0.0,23.72726,3.5586849999999997,23.72726,0.09792054,1,11,2007,1
0.0,23.72726,2.575059,23.72726,0.2117047,1,11,2007,1
0.0,23.72726,1.541707,23.72726,0.1791815,1,11,2007,1
0.0,23.72726,3.2181439999999997,23.72726,0.22808009999999998,1,11,2007,1
0.0,23.72726,2.768134,23.72726,0.4089118,1,11,2007,1
0.0,23.72726,2.618013,23.72726,0.6731696,1,11,2007,1
0.0,23.72726,2.116404,23.72726,0.3592796,1,11,2007,1
0.03976599,24.73389,2.875496,23.72726,0.33465490000000003,1,11,2007,1
0.14663710000000002,27.47328,3.037212,23.72726,0.4107281,1,11,2007,1
0.3131572,31.929270000000002,4.972835,23.72726,0.36682420000000004,1,11,2007,1
0.4001453,34.376670000000004,6.127593,23.72726,0.47406750000000003,1,11,2007,1
0.3690781,33.36979,7.023903999999999,23.72726,0.5684821999999999,1,11,2007,1
0.341739,32.617779999999996,7.865583,23.72726,0.47587690000000005,1,11,2007,1
0.2572362,30.341379999999997,7.522641,23.72726,0.38724400000000003,1,11,2007,1
0.1553359,27.69711,8.178483,23.72726,0.34157750000000003,1,11,2007,1
0.03479524,24.60663,8.553737,23.72726,0.340804,1,11,2007,1
0.0,23.72726,9.807549,23.72726,0.6133851,1,11,2007,1
0.0,23.72726,7.16485,23.72726,1.188587,1,11,2007,1
0.0,23.72726,7.116298,23.72726,0.9386306000000001,1,11,2007,1
0.0,23.72726,6.599514,23.72726,0.635134,1,11,2007,1
0.0,23.72726,5.503028,23.72726,0.3801935,1,11,2007,1
0.0,23.72726,5.2336730000000005,23.72726,0.24345219999999998,1,11,2007,1
0.0,23.72726,4.885779,23.72726,0.1866286,1,11,2007,1
0.0,23.72726,4.058367,23.72726,0.1023942,1,12,2007,1
0.0,23.72726,2.966065,23.72726,0.08908872,1,12,2007,1
0.0,23.72726,3.2690349999999997,23.72726,0.21243910000000002,1,12,2007,1
0.0,23.72726,3.777018,23.72726,0.1947885,1,12,2007,1
0.0,23.72726,3.3845419999999997,23.72726,0.327973,1,12,2007,1
0.0,23.72726,2.733384,23.72726,0.3454477,1,12,2007,1
0.0,23.72726,2.346823,23.72726,0.655606,1,12,2007,1
0.0,23.72726,3.10502,23.72726,0.43563050000000003,1,12,2007,1
0.02609643,24.3858,2.6729380000000003,23.72726,0.37008009999999997,1,12,2007,1
0.10562839999999998,26.41256,3.856407,23.72726,0.4367879,1,12,2007,1
0.2149849,29.227120000000003,3.7243660000000003,23.72726,0.3612539,1,12,2007,1
0.29327420000000004,31.271390000000004,4.601774,23.72726,0.5260918000000001,1,12,2007,1
0.29327420000000004,31.25549,4.490723,23.72726,0.7340829000000001,1,12,2007,1
0.24729479999999998,30.05175,4.746461,23.72726,0.6141765,1,12,2007,1
0.2945169,31.37081,4.933305000000001,23.72726,0.3989295,1,12,2007,1
0.10935650000000001,26.5072,4.883401,23.72726,0.4190358,1,12,2007,1
0.03230987,24.543329999999997,4.667927,23.72726,0.37989090000000003,1,12,2007,1
0.0,23.72726,4.338653,23.72726,0.5439630999999999,1,12,2007,1
0.0,23.72726,4.390683,23.72726,1.16307,1,12,2007,1
0.0,23.72726,5.393276,23.72726,1.091553,1,12,2007,1
0.0,23.72726,5.109152,23.72726,0.6919656,1,12,2007,1
0.0,23.72726,4.994001,23.72726,0.4747456,1,12,2007,1
0.0,23.72726,5.143155999999999,23.72726,0.3000797,1,12,2007,1
0.0,23.72726,6.297968,23.72726,0.18568339999999997,1,12,2007,1
0.0,23.72726,5.3398449999999995,23.72726,0.07423097,1,13,2007,1
0.0,23.72726,5.312801,23.72726,0.07136323,1,13,2007,1
0.0,23.72726,5.040925,23.72726,0.20522680000000001,1,13,2007,1
0.0,23.72726,4.4604610000000005,23.72726,0.16697579999999998,1,13,2007,1
0.0,23.72726,4.167038,23.72726,0.24356689999999998,1,13,2007,1
0.0,23.72726,2.836948,23.72726,0.24404050000000002,1,13,2007,1
0.0,23.72726,2.590221,23.72726,0.6196673,1,13,2007,1
0.0,23.72726,2.477865,23.72726,0.3513259,1,13,2007,1
0.02982449,24.480520000000002,2.626328,23.72726,0.3572391,1,13,2007,1
0.1118418,26.572490000000002,3.0043599999999997,23.72726,0.2833735,1,13,2007,1
0.23486790000000002,29.74758,3.5010339999999998,23.72726,0.39577540000000005,1,13,2007,1
0.23983859999999999,29.858259999999998,4.561713,23.72726,0.38373440000000003,1,13,2007,1
0.3342828,32.37297,4.301311,23.72726,0.4439219,1,13,2007,1
0.2907888,31.19978,4.523531,23.72726,0.3541289,1,13,2007,1
0.24232399999999998,29.940540000000002,5.084194999999999,23.72726,0.3278096,1,13,2007,1
0.14663710000000002,27.470090000000003,5.24512,23.72726,0.2726818,1,13,2007,1
0.0385233,24.701439999999998,5.33629,23.72726,0.2823954,1,13,2007,1
0.0,23.72726,4.947887000000001,23.72726,0.6136764,1,13,2007,1
0.0,23.72726,4.067876,23.72726,0.9728061,1,13,2007,1
0.0,23.72726,3.285607,23.72726,0.8746076999999999,1,13,2007,1
0.0,23.72726,3.993896,23.72726,0.5476964,1,13,2007,1
0.0,23.72726,3.582901,23.72726,0.3941564,1,13,2007,1
0.0,23.72726,2.704996,23.72726,0.21805239999999998,1,13,2007,1
0.0,23.72726,3.25427,23.72726,0.1763344,1,13,2007,1
0.0,23.72726,2.755356,23.72726,0.11466689999999999,1,14,2007,1
0.0,23.72726,2.433671,23.72726,0.08588988,1,14,2007,1
0.0,23.72726,2.157149,23.72726,0.1977359,1,14,2007,1
0.0,23.72726,1.585983,23.72726,0.180051,1,14,2007,1
0.0,23.72726,3.700086,23.72726,0.3166598,1,14,2007,1
0.0,23.72726,4.38232,23.72726,0.3385893,1,14,2007,1
0.0,23.72726,5.279404,23.72726,0.649976,1,14,2007,1
0.0,23.72726,5.353502,23.72726,0.47308190000000006,1,14,2007,1
0.03479524,24.60705,4.59455,23.72726,0.421108,1,14,2007,1
0.1528505,27.634159999999998,3.477575,23.72726,0.37866750000000005,1,14,2007,1
0.27587659999999997,30.8562,3.789195,23.72726,0.4091685,1,14,2007,1
0.361622,33.19583,3.3611050000000002,23.72726,0.43228779999999994,1,14,2007,1
0.39144650000000003,34.019079999999995,3.998846,23.72726,0.5267866999999999,1,14,2007,1
0.2920315,31.23191,4.326263,23.72726,0.4705648,1,14,2007,1
0.27587659999999997,30.844359999999998,3.7196290000000003,23.72726,0.3747537,1,14,2007,1
0.1292395,27.019240000000003,4.633437000000001,23.72726,0.3559208,1,14,2007,1
0.03976599,24.73303,4.918474,23.72726,0.3262236,1,14,2007,1
0.0,23.72726,3.496861,23.72726,0.6188805000000001,1,14,2007,1
0.0,23.72726,2.629507,23.72726,1.125899,1,14,2007,1
0.0,23.72726,3.292586,23.72726,0.7840376,1,14,2007,1
0.0,23.72726,3.678062,23.72726,0.7113776999999999,1,14,2007,1
0.0,23.72726,3.138615,23.72726,0.5187912,1,14,2007,1
0.0,23.72726,4.0583849999999995,23.72726,0.3044317,1,14,2007,1
0.0,23.72726,3.1672700000000003,23.72726,0.14713220000000002,1,14,2007,1
0.0,23.72726,2.911691,23.72726,0.09416889,1,15,2007,1
0.0,23.72726,3.645919,23.72726,0.09895186,1,15,2007,1
0.0,23.72726,3.596888,23.72726,0.1991612,1,15,2007,1
0.0,23.72726,3.6041300000000005,23.72726,0.2080676,1,15,2007,1
0.0,23.72726,5.347564,23.72726,0.34034970000000003,1,15,2007,1
0.0,23.72726,5.430234,23.72726,0.3898933,1,15,2007,1
0.0,23.72726,5.7928239999999995,23.72726,0.6106819,1,15,2007,1
0.0,23.72726,5.880074,23.72726,0.383173,1,15,2007,1
0.03479524,24.607029999999998,5.498101999999999,23.72726,0.42720119999999995,1,15,2007,1
0.09941497,26.252440000000004,4.240012999999999,23.72726,0.3697152,1,15,2007,1
0.2050434,28.967229999999997,3.9055779999999998,23.72726,0.500352,1,15,2007,1
0.25847889999999996,30.342570000000002,3.37998,23.72726,0.45490290000000005,1,15,2007,1
0.2100141,29.0797,3.151908,23.72726,0.655405,1,15,2007,1
0.25226550000000003,30.17928,3.551014,23.72726,0.428591,1,15,2007,1
0.1938592,28.67455,4.251976,23.72726,0.3780086,1,15,2007,1
0.11432719999999999,26.63428,3.58626,23.72726,0.39849229999999997,1,15,2007,1
0.03728062,24.669610000000002,3.9152440000000004,23.72726,0.35531599999999997,1,15,2007,1
0.0,23.72726,3.9775940000000003,23.72726,0.6801848,1,15,2007,1
0.0,23.72726,3.230556,23.72726,1.165874,1,15,2007,1
0.0,23.72726,2.678082,23.72726,1.065224,1,15,2007,1
0.0,23.72726,3.5184629999999997,23.72726,0.6754501,1,15,2007,1
0.0,23.72726,4.943502,23.72726,0.4330178,1,15,2007,1
0.0,23.72726,3.652423,23.72726,0.2676135,1,15,2007,1
0.0,23.72726,2.914588,23.72726,0.1957642,1,15,2007,1
0.0,23.72726,1.966163,23.72726,0.07444352,1,16,2007,1
0.0,23.72726,1.331597,23.72726,0.06650867,1,16,2007,1
0.0,23.72726,1.7168139999999998,23.72726,0.1267151,1,16,2007,1
0.0,23.72726,1.428434,23.72726,0.11227460000000002,1,16,2007,1
0.0,23.72726,2.370575,23.72726,0.2567627,1,16,2007,1
0.0,23.72726,2.511247,23.72726,0.26803299999999997,1,16,2007,1
